Timestamp,AIN68,AIN65,AIN67,AIN63,AIN64,AIN66,Total_Weight,TC_1,TC_2,TC_3
13:35:39:652,1089.5942449569702,1797.444534368515,1976.0764077854155,2646.102637691498,2159.030108652115,2273.3055362701416,2971.9520837358164,-389.7114027103563,263.3860078623819,-246.96464781109876
13:35:41:445,1182.2108030319214,1990.1377807426452,2065.141806516647,2729.81281083107,2327.1708226299284,2353.257829122543,2595.1801856461716,-389.6850904544969,-389.6850904544969,-210.446064160975
13:35:41:554,1172.255277633667,2080.988191547394,2136.7636642837524,2756.7141130924224,2436.185142097473,2425.067543029785,2427.2355775143456,-389.6850904544969,-389.6850904544969,-232.62946598910696
13:35:41:668,1148.2040882110596,2091.134884939194,2185.618191099167,2797.5826708698273,2512.2225660133363,2495.937786865234,2322.349354147069,-389.6850904544969,-389.68161503123065,-238.79785163870667
13:35:41:779,1129.7320127487183,2073.910635719299,2208.76142370224,2837.7935427856446,2568.6557246112825,2556.3795530986786,2241.0743161382966,-389.6850904544969,-380.4739512916309,-236.26970609284024
13:35:41:891,1125.0401735305786,2065.9873485183716,2222.3842131710053,2878.5369262599943,2613.5643256282806,2603.9499544239043,2169.8572346282917,-389.6850904544969,-369.8398511815652,-227.14492097630733
13:35:41:997,1125.237226486206,2063.8264347934723,2233.53305847168,2905.9393044757844,2643.440648012161,2636.6134407901764,2113.3703746414994,-389.68161503123065,-364.82845438096575,-224.5476962821076
13:35:42:112,1134.9562406539917,2073.284196090698,2242.4270619773865,2935.972236766815,2669.997484226227,2665.6129749393463,2042.0017619235646,-389.6850904544969,-361.0017271534989,-215.60248833010832
13:35:42:225,1135.488510131836,2073.9731281852723,2245.8406655883787,2942.4862241744995,2683.6515199279784,2681.5220418071744,2024.3468191914953,-389.68161503123065,-360.7599603561656,-219.32217252097476
13:35:42:341,1137.4402046203613,2081.050873384476,2254.7973509311673,2951.630765657425,2693.9235769939423,2693.1092812252045,2007.6638190557444,-389.67196179238755,-360.22183834419013,-219.9859949801317
13:35:42:449,1146.666407585144,2093.2018705940245,2265.8520787906646,2977.0913325214387,2709.1435223960875,2711.179261817932,1966.7008853308807,-389.6850904544969,-357.4547101679662,-213.26430533124176
13:35:42:566,1148.697018623352,2096.6467204380033,2269.4849741458893,2978.9704620361326,2715.657509803772,2717.2859119701384,1957.5435393394325,-389.67196179238755,-357.39325267878974,-215.7378829034654
13:35:42:680,1150.5894660949707,2098.807634162903,2270.9567664051056,2981.945482158661,2719.7287992763518,2720.8873717212678,1952.550213939564,-389.67196179238755,-358.1116022242569,-217.76521995666548
13:35:42:788,1150.2938270568848,2100.7178205394744,2274.934127807617,2982.35263004303,2720.6055875110624,2721.388447675705,1961.306353216599,-389.67196179238755,-359.2513366189235,-219.94799020453192
13:35:42:902,1155.734896659851,2114.935803403854,2286.5526134586335,2997.228109397888,2730.501742925644,2733.5708804893493,1940.477092939101,-389.67196179238755,-357.06169729918963,-213.6483562174657
13:35:43:011,1162.1025800704956,2119.194949016571,2295.8852004528044,2995.975608882904,2736.2641164016723,2738.236984615326,1937.8199660263806,-389.67196179238755,-356.43309544865673,-214.83300534693203
13:35:43:128,1162.1617078781128,2120.6042488098146,2295.3841244983673,2997.1656169319153,2738.7694961738584,2742.527376461029,1938.4440888176628,-389.67196179238755,-356.6092380772567,-215.93130043006522
