timestamp_ns,device,channel,sensor_type,differential,voltage
1765400101794572032,T7,AIN2,Voltage,true,0.44030097126960754
1765400101794629120,T7,AIN2,Voltage,true,0.4138052761554718
1765400101794647040,T7,AIN2,Voltage,true,0.3869941830635071
1765400101794657024,T7,AIN2,Voltage,true,0.36018306016921997
1765400101794664960,T7,AIN2,Voltage,true,0.3327411115169525
1765400101794672128,T7,AIN2,Voltage,true,0.3059300184249878
1765400101794679040,T7,AIN2,Voltage,true,0.2788034677505493
1765400101794684928,T7,AIN2,Voltage,true,0.25136151909828186
1765400101794692096,T7,AIN2,Voltage,true,0.22518126666545868
1765400101794699008,T7,AIN2,Voltage,true,0.19868557155132294
1765400101794704896,T7,AIN2,Voltage,true,0.17124362289905548
1765400101794712064,T7,AIN2,Voltage,true,0.14348624646663666
1765400101794717952,T7,AIN2,Voltage,true,0.11793683469295502
1765400101794725120,T7,AIN2,Voltage,true,0.09081029891967773
1765400101794732032,T7,AIN2,Voltage,true,0.06368377059698105
1765400101794738944,T7,AIN2,Voltage,true,0.03750351443886757
1765400101794745088,T7,AIN2,Voltage,true,0.011007832363247871
1765400101794752000,T7,AIN2,Voltage,true,-0.015486357733607292
1765400101794759936,T7,AIN2,Voltage,true,-0.04166409373283386
1765400101794766080,T7,AIN2,Voltage,true,-0.0675264298915863
1765400101794772992,T7,AIN2,Voltage,true,-0.09307338297367096
1765400101794778880,T7,AIN2,Voltage,true,-0.11767414212226868
1765400101794786048,T7,AIN2,Voltage,true,-0.14322109520435333
1765400101794792960,T7,AIN2,Voltage,true,-0.16782185435295105
1765400101794800896,T7,AIN2,Voltage,true,-0.19273801147937775
1765400101794808064,T7,AIN2,Voltage,true,-0.21607719361782074
1765400101794813952,T7,AIN2,Voltage,true,-0.2397317737340927
1765400101794821120,T7,AIN2,Voltage,true,-0.26433253288269043
1765400101794828032,T7,AIN2,Voltage,true,-0.2883025109767914
1765400101794834944,T7,AIN2,Voltage,true,-0.31195709109306335
1765400101794841088,T7,AIN2,Voltage,true,-0.3359270691871643
1765400101794848000,T7,AIN2,Voltage,true,-0.35863545536994934
1765400101794854912,T7,AIN2,Voltage,true,-0.3803976774215698
1765400101794862080,T7,AIN2,Voltage,true,-0.4037368595600128
1765400101794868992,T7,AIN2,Voltage,true,-0.4258144795894623
1765400101794874880,T7,AIN2,Voltage,true,-0.4485228657722473
1765400101794882048,T7,AIN2,Voltage,true,-0.4699696898460388
1765400101794887936,T7,AIN2,Voltage,true,-0.4904703199863434
1765400101794895104,T7,AIN2,Voltage,true,-0.510970950126648
1765400101794900992,T7,AIN2,Voltage,true,-0.5308408141136169
1765400101794908928,T7,AIN2,Voltage,true,-0.5507106781005859
1765400101794916096,T7,AIN2,Voltage,true,-0.5690035223960876
1765400101794923008,T7,AIN2,Voltage,true,-0.5860348343849182
1765400101794929920,T7,AIN2,Voltage,true,-0.6043276786804199
1765400101794937088,T7,AIN2,Voltage,true,-0.622935950756073
1765400101794942976,T7,AIN2,Voltage,true,-0.6409134268760681
1765400101794949888,T7,AIN2,Voltage,true,-0.65826016664505
1765400101794956032,T7,AIN2,Voltage,true,-0.6756068468093872
1765400101794962944,T7,AIN2,Voltage,true,-0.6926381587982178
1765400101794970112,T7,AIN2,Voltage,true,-0.6661450266838074
1765400101794976000,T7,AIN2,Voltage,true,-0.5535492300987244
1765400101794982912,T7,AIN2,Voltage,true,-0.4289683997631073
1765400101794991104,T7,AIN2,Voltage,true,-0.30217987298965454
